,Date,Original premiere,Directors,Normalised title,Composer,Multiple bill,Season,Title_Language,Occasion,Production_Language,Dutch,German,Title_Language_GLM,Dutch_Title,German_Title
0,1893-10-03,1821,Edward Keurvels & Henry Fontaine,De Vrijschutter,Carl Maria von Weber,False,1893-1894,NL,N,German,False,True,Dutch,True,False
1,1893-10-05,1971,Edward Keurvels & Henry Fontaine,Willem Tell,Carl Reinecke,False,1893-1894,Unk,N,German,False,True,other,False,False
2,1893-10-10,1821,Edward Keurvels & Henry Fontaine,De Vrijschutter,Carl Maria von Weber,False,1893-1894,NL,N,German,False,True,Dutch,True,False
3,1893-10-12,1971,Edward Keurvels & Henry Fontaine,Willem Tell,Carl Reinecke,False,1893-1894,Unk,N,German,False,True,other,False,False
4,1893-11-16,?,Edward Keurvels & Henry Fontaine,Charlotte Corday,Peter Benoit,False,1893-1894,Unk,N,Dutch,True,False,other,False,False
5,1893-10-17,1821,Edward Keurvels & Henry Fontaine,De Vrijschutter,Carl Maria von Weber,False,1893-1894,NL,N,German,False,True,Dutch,True,False
6,1893-10-19,?,Edward Keurvels & Henry Fontaine,Charlotte Corday,Peter Benoit,False,1893-1894,Unk,N,Dutch,True,False,other,False,False
7,1893-10-24,1821,Edward Keurvels & Henry Fontaine,De Vrijschutter,Carl Maria von Weber,False,1893-1894,NL,N,German,False,True,Dutch,True,False
8,1893-10-26,?,Edward Keurvels & Henry Fontaine,Charlotte Corday,Peter Benoit,False,1893-1894,Unk,N,Dutch,True,False,other,False,False
9,1893-10-31,1821,Edward Keurvels & Henry Fontaine,De Vrijschutter,Carl Maria von Weber,False,1893-1894,NL,N,German,False,True,Dutch,True,False
10,1893-11-02,1887,Edward Keurvels & Henry Fontaine,Parisina,Edward Keurvels,False,1893-1894,Unk,N,Dutch,True,False,other,False,False
11,1893-11-07,1821,Edward Keurvels & Henry Fontaine,De Vrijschutter,Carl Maria von Weber,False,1893-1894,NL,N,German,False,True,Dutch,True,False
12,1893-11-09,1887,Edward Keurvels & Henry Fontaine,Parisina,Edward Keurvels,False,1893-1894,Unk,N,Dutch,True,False,other,False,False
13,1893-11-14,1894,Edward Keurvels & Henry Fontaine,Leiden Ontzet,Cis Van der Linden,False,1893-1894,NL,N,Dutch,True,False,Dutch,True,False
14,1893-11-21,1894,Edward Keurvels & Henry Fontaine,Leiden Ontzet,Cis Van der Linden,False,1893-1894,NL,N,Dutch,True,False,Dutch,True,False
15,1893-11-23,1821,Edward Keurvels & Henry Fontaine,Preciosa,Carl Maria von Weber,False,1893-1894,Unk,N,German,False,True,other,False,False
16,1893-11-30,1821,Edward Keurvels & Henry Fontaine,Preciosa,Carl Maria von Weber,False,1893-1894,Unk,N,German,False,True,other,False,False
17,1893-12-05,1894,Edward Keurvels & Henry Fontaine,Leiden Ontzet,Cis Van der Linden,False,1893-1894,NL,N,Dutch,True,False,Dutch,True,False
18,1893-12-12,1894,Edward Keurvels & Henry Fontaine,Leiden Ontzet,Cis Van der Linden,False,1893-1894,NL,N,Dutch,True,False,Dutch,True,False
19,1893-12-14,1890,Edward Keurvels & Henry Fontaine,Pelops,Fibich Zdeněk,False,1893-1894,Unk,N,other,False,False,other,False,False
