,Image,Collection,Production,Date,Occasion,Leaflet_Language,Opmerking,Multiple bill,Performances_ID,Normalised title,Original language,Composer,Original premiere,Original title,genre,Title_Language,Season
3,0004_Untitled document_00005-20230218_102247.jpg,1933-1934,Middernachtstango,1933-09-09,,Dutch,Meerdere data: staan niet vermeld,False,169666,Middernachtstango,DUI,Károly Komjáti,?,Tango um Mitternacht,operette,NL,1933-1934
6,0007_Untitled document_00008-20230218_102545.jpg,1933-1934,Quinten Massys,1933-09-10,gala,Dutch,,False,275395,Quinten Massijs,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,Unk,1933-1934
8,0009_Untitled document_00010-20230218_103338.jpg,1933-1934,Tristan en Isolde,1933-09-30,"gala, opening van het seizoen, gastvoorstelling Gustaaf de Loor",Dutch,,False,687589,Tristan en Isolde,DUI,Richard Wagner,1860,Tristan und Isolde,gesamtkunstwerk,NL,1933-1934
10,0011_Untitled document_00012-20230218_103357.jpg,1933-1934,Frederika,1933-10-01,gastvoorstelling Octavie Belloy,Dutch,,False,575899,Frederika,DUI,Franz Lehár,1928,Friederika,leichte oper,Unk,1933-1934
12,0013_Untitled document_00014-20230218_103422.jpg,1933-1934,Faust,1933-10-01,gastvoorstelling Georges Youreneff,Dutch,,False,706840,Faust,FR,Charles Gounod,1859,Faust,grand opera,Unk,1933-1934
14,0015_Untitled document_00016-20230218_103440.jpg,1933-1934,Frederika,1933-09-03,gastvoorstelling Octavie Belloy,Dutch,,False,465753,Frederika,DUI,Franz Lehár,1928,Friederika,leichte oper,Unk,1933-1934
16,0017_Untitled document_00018-20230218_103459.jpg,1933-1934,Tristan en Isolde,1933-10-05,gastvoorstelling Gustaaf de Loor,Dutch,,False,878398,Tristan en Isolde,DUI,Richard Wagner,1860,Tristan und Isolde,gesamtkunstwerk,NL,1933-1934
18,0019_Untitled document_00020-20230218_103603.jpg,1933-1934,Faust,1933-10-07,gastvoorstelling Georges Youreneff,Dutch,"Datum aangepast, was eerst 8/10/1933",False,165279,Faust,FR,Charles Gounod,1859,Faust,grand opera,Unk,1933-1934
20,0021_Untitled document_00022-20230218_103636.jpg,1933-1934,Faust,1933-10-08,gastvoorstelling Georges Youreneff,Dutch,,False,496286,Faust,FR,Charles Gounod,1859,Faust,grand opera,Unk,1933-1934
22,0024_Untitled document_00025-20230218_103738.jpg,1933-1934,Frederika,1933-10-08,gastvoorstelling Octavie Belloy,Dutch,,False,694312,Frederika,DUI,Franz Lehár,1928,Friederika,leichte oper,Unk,1933-1934
24,0026_Untitled document_00027-20230218_103758.jpg,1933-1934,Faust,1933-10-10,gastvoorstelling Georges Youreneff,Dutch,,False,254067,Faust,FR,Charles Gounod,1859,Faust,grand opera,Unk,1933-1934
26,0028_Untitled document_00029-20230218_103817.jpg,1933-1934,Frederika,1933-10-12,gastvoorstelling Octavie Belloy,Dutch,,False,967803,Frederika,DUI,Franz Lehár,1928,Friederika,leichte oper,Unk,1933-1934
28,0030_Untitled document_00031-20230218_103836.jpg,1933-1934,Boris Godounow,1933-10-14,"gala, gastvoorstelling Georges Youreneff, eerste opvoering",Dutch,,False,613724,Boris Godounow,N/A,N/A,N/A,N/A,N/A,N/A,1933-1934
30,0032_Untitled document_00033-20230218_103858.jpg,1933-1934,Driemeisjeshuis,1933-10-15,,Dutch,,False,626764,Driemeisjeshuis,DUI,Heinrich Berté,1916,Das Dreimäderlhaus,leichte oper,NL,1933-1934
32,0034_Untitled document_00035-20230218_103919.jpg,1933-1934,Tristan en Isolde,1933-10-15,gastvoorstelling Gustaaf de Loor,Dutch,,False,147781,Tristan en Isolde,DUI,Richard Wagner,1860,Tristan und Isolde,gesamtkunstwerk,NL,1933-1934
34,0036_Untitled document_00037-20230218_103936.jpg,1933-1934,Hoffman’s Vertellingen,1933-10-17,GAKVO-gala,Dutch,,False,957870,Hoffman’s Vertellingen,N/A,N/A,N/A,N/A,N/A,N/A,1933-1934
36,0038_Untitled document_00039-20230218_103959.jpg,1933-1934,Faust,1933-10-19,gastvoorstelling Georges Youreneff,Dutch,,False,547488,Faust,FR,Charles Gounod,1859,Faust,grand opera,Unk,1933-1934
38,0040_Untitled document_00041-20230218_104047.jpg,1933-1934,Quinten Massys,1933-10-21,,Dutch,,False,277064,Quinten Massijs,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,Unk,1933-1934
