,Date,Production,Multiple bill,Performances_ID,Normalised title,Original language,Composer,Original premiere,Original title,genre,Season
0,1940-10-26,De Vroolijke vrouwtjes van Windsor,False,920041,De Lustige Vrouwtjes van Windsor,DUI,Otto Nicolai,1849,Die lustigen Weiber von Windsor,zangspel,1940-1941
1,1940-10-27,De Vroolijke vrouwtjes van Windsor,False,594412,De Lustige Vrouwtjes van Windsor,DUI,Otto Nicolai,1849,Die lustigen Weiber von Windsor,zangspel,1940-1941
2,1940-10-27,Het Land der Meisjes,False,793215,Het Land der Meisjes,N/A,N/A,N/A,N/A,N/A,1940-1941
3,1940-11-03,1e Operaconcert,False,171545,1e Operaconcert,N/A,N/A,N/A,N/A,N/A,1940-1941
4,1940-11-03,Het Land der Meisjes,False,532356,Het Land der Meisjes,N/A,N/A,N/A,N/A,N/A,1940-1941
5,1940-11-03,De Vroolijke vrouwtjes van Windsor,False,129061,De Lustige Vrouwtjes van Windsor,DUI,Otto Nicolai,1849,Die lustigen Weiber von Windsor,zangspel,1940-1941
6,1940-11-04,Het Land der Meisjes,False,222303,Het Land der Meisjes,N/A,N/A,N/A,N/A,N/A,1940-1941
7,1940-11-08,Opera-avond,False,455467,Opera-avond,N/A,N/A,N/A,N/A,N/A,1940-1941
8,1940-11-10,Het Land der Meisjes,False,753203,Het Land der Meisjes,N/A,N/A,N/A,N/A,N/A,1940-1941
9,1940-11-10,De Vledermuis,False,448241,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1940-1941
10,1940-11-11,De Vledermuis,False,769615,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1940-1941
11,1940-11-17,Winterconcert,False,431477,Winterconcert,N/A,N/A,N/A,N/A,N/A,1940-1941
12,1940-11-17,De Vledermuis,False,988502,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1940-1941
13,1940-11-17,De Molen van Sans Souci,False,911034,De Molen van Sans Souci,NL,Veremans Renaat,1937,De Molens van Sans Souci,operette,1940-1941
14,1940-11-18,De Vroolijke vrouwtjes van Windsor,False,570621,De Lustige Vrouwtjes van Windsor,DUI,Otto Nicolai,1849,Die lustigen Weiber von Windsor,zangspel,1940-1941
15,1940-11-24,De Molen van Sans Souci,False,188001,De Molen van Sans Souci,NL,Veremans Renaat,1937,De Molens van Sans Souci,operette,1940-1941
16,1940-11-24,De Vledermuis,False,730586,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1940-1941
17,1940-11-25,De Molen van Sans Souci,False,811601,De Molen van Sans Souci,NL,Veremans Renaat,1937,De Molens van Sans Souci,operette,1940-1941
18,1940-12-01,Winterconcert,False,582972,Winterconcert,N/A,N/A,N/A,N/A,N/A,1940-1941
