Image	Collection	Production	Date	Occasion	Leaflet_Language	Opmerking
0001_Untitled document_00002-20230218_101358.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0002_Untitled document_00003-20230218_101416.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0003_Untitled document_00004-20230218_102224.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0004_Untitled document_00005-20230218_102247.jpg	1933-1934	Middernachtstango	9/9/1933	N/A	Dutch	Meerdere data: staan niet vermeld
0005_Untitled document_00006-20230218_102503.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0006_Untitled document_00007-20230218_102531.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0007_Untitled document_00008-20230218_102545.jpg	1933-1934	Quinten Massys	10/9/1933	gala	Dutch	N/A
0008_Untitled document_00009-20230218_103329.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0009_Untitled document_00010-20230218_103338.jpg	1933-1934	Tristan en Isolde	30/9/1933	gala, opening van het seizoen, gastvoorstelling Gustaaf de Loor	Dutch	N/A
0010_Untitled document_00011-20230218_103350.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0011_Untitled document_00012-20230218_103357.jpg	1933-1934	Frederika	1/10/1933	gastvoorstelling Octavie Belloy	Dutch	N/A
0012_Untitled document_00013-20230218_103415.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0013_Untitled document_00014-20230218_103422.jpg	1933-1934	Faust	1/10/1933	gastvoorstelling Georges Youreneff	Dutch	N/A
0014_Untitled document_00015-20230218_103432.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0015_Untitled document_00016-20230218_103440.jpg	1933-1934	Frederika	3/9/1933	gastvoorstelling Octavie Belloy	Dutch	N/A
0016_Untitled document_00017-20230218_103451.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0017_Untitled document_00018-20230218_103459.jpg	1933-1934	Tristan en Isolde	5/10/1933	gastvoorstelling Gustaaf de Loor	Dutch	N/A
0018_Untitled document_00019-20230218_103555.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0019_Untitled document_00020-20230218_103603.jpg	1933-1934	Faust	7/10/1933	gastvoorstelling Georges Youreneff	Dutch	Datum aangepast, was eerst 8/10/1933
0020_Untitled document_00021-20230218_103628.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
