,Image,Collection,Production,Date,Occasion,Multiple bill,Performances_ID,Normalised title,Original language,Composer,Original premiere,Original title,genre,Season,Directors,Title_Language
0,K.V.O. programmas 1893-97_00005-20211201_113354.jpg,1893-1897,De Vrijschutter,1893-10-03,Eerste vertoning,False,268522,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,NL
1,K.V.O. programmas 1893-97_00009-20211201_113438.jpg,1893-1897,Willem Tell,1893-10-05,Eerste vertoning,False,557880,Willem Tell,DUI,Carl Reinecke,1971,Musik zu Schiller’s 'Wilhelm Tell,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,Unk
2,K.V.O. programmas 1893-97_00011-20211201_113452.jpg,1893-1897,De Vrijschutter,1893-10-10,,False,341468,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,NL
3,K.V.O. programmas 1893-97_00013-20211201_113512.jpg,1893-1897,Willem Tell,1893-10-12,,False,992196,Willem Tell,DUI,Carl Reinecke,1971,Musik zu Schiller’s 'Wilhelm Tell,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,Unk
4,K.V.O. programmas 1893-97_00015-20211201_113528.jpg,1893-1897,Charlotte Corday,1893-11-16,,False,667111,Charlotte Corday,NL,Peter Benoit,?,Charlotte Corday,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine,Unk
5,K.V.O. programmas 1893-97_00017-20211201_113547.jpg,1893-1897,De Vrijschutter,1893-10-17,,False,841922,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,NL
6,K.V.O. programmas 1893-97_00019-20211201_113606.jpg,1893-1897,Charlotte Corday,1893-10-19,,False,654219,Charlotte Corday,NL,Peter Benoit,?,Charlotte Corday,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine,Unk
7,K.V.O. programmas 1893-97_00023-20211201_113639.jpg,1893-1897,De Vrijschutter,1893-10-24,,False,844290,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,NL
8,K.V.O. programmas 1893-97_00025-20211201_113654.jpg,1893-1897,Charlotte Corday,1893-10-26,,False,179441,Charlotte Corday,NL,Peter Benoit,?,Charlotte Corday,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine,Unk
9,K.V.O. programmas 1893-97_00027-20211201_113712.jpg,1893-1897,De Vrijschutter,1893-10-31,,False,212520,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,NL
10,K.V.O. programmas 1893-97_00029-20211201_113749.jpg,1893-1897,Parisina,1893-11-02,,False,264409,Parisina,NL,Edward Keurvels,1887,Parisina,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine,Unk
11,K.V.O. programmas 1893-97_00033-20211201_113824.jpg,1893-1897,De Vrijschutter,1893-11-07,,False,539721,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,NL
12,K.V.O. programmas 1893-97_00035-20211201_113845.jpg,1893-1897,Parisina,1893-11-09,,False,550482,Parisina,NL,Edward Keurvels,1887,Parisina,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine,Unk
13,K.V.O. programmas 1893-97_00037-20211201_113904.jpg,1893-1897,Leiden Ontzet,1893-11-14,,False,844287,Leiden Ontzet,NL,Cis Van der Linden,1894,Leiden Ontzet,zangspel,1893-1894,Edward Keurvels & Henry Fontaine,NL
14,K.V.O. programmas 1893-97_00039-20211201_113923.jpg,1893-1897,Leiden Ontzet,1893-11-21,,False,558325,Leiden Ontzet,NL,Cis Van der Linden,1894,Leiden Ontzet,zangspel,1893-1894,Edward Keurvels & Henry Fontaine,NL
15,K.V.O. programmas 1893-97_00041-20211201_113947.jpg,1893-1897,Preciosa,1893-11-23,,False,447219,Preciosa,DUI,Carl Maria von Weber,1821,Preciosa,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,Unk
16,K.V.O. programmas 1893-97_00045-20211201_114017.jpg,1893-1897,Preciosa,1893-11-30,,False,712549,Preciosa,DUI,Carl Maria von Weber,1821,Preciosa,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,Unk
17,K.V.O. programmas 1893-97_00047-20211201_114041.jpg,1893-1897,Leiden Ontzet,1893-12-05,,False,963054,Leiden Ontzet,NL,Cis Van der Linden,1894,Leiden Ontzet,zangspel,1893-1894,Edward Keurvels & Henry Fontaine,NL
18,K.V.O. programmas 1893-97_00049-20211201_114057.jpg,1893-1897,Leiden Ontzet,1893-12-12,,False,548967,Leiden Ontzet,NL,Cis Van der Linden,1894,Leiden Ontzet,zangspel,1893-1894,Edward Keurvels & Henry Fontaine,NL
19,K.V.O. programmas 1893-97_00051-20211201_114113.jpg,1893-1897,Pelops,1893-12-14,,False,932052,Pelops,TSJ,Fibich Zdeněk,1890,Námluvy Pelopovy,romantic opera,1893-1894,Edward Keurvels & Henry Fontaine,Unk
20,K.V.O. programmas 1893-97_00053-20211201_114128.jpg,1893-1897,De Vrijschutter,1893-12-19,,False,766355,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,NL
21,K.V.O. programmas 1893-97_00055-20211201_114154.jpg,1893-1897,Tantalus,1893-12-21,Eerste vertoning,False,754535,Tantalus,TSJ,Zdeněk Fibich,1890,Smír Tantalův,?,1893-1894,Edward Keurvels & Henry Fontaine,Unk
22,K.V.O. programmas 1893-97_00057-20211201_114218.jpg,1893-1897,Liederik,1893-12-26,Eerste vertoning,False,393724,Liederik,NL,Joseph Mertens,1875,Liederik de rentmeester,zangspel,1893-1894,Edward Keurvels & Henry Fontaine,Unk
23,K.V.O. programmas 1893-97_00059-20211201_114236.jpg,1893-1897,Tantalus,1893-12-28,,False,959037,Tantalus,TSJ,Zdeněk Fibich,1890,Smír Tantalův,?,1893-1894,Edward Keurvels & Henry Fontaine,Unk
24,K.V.O. programmas 1893-97_00061-20211201_114252.jpg,1893-1897,Liederik,1894-01-02,,False,283058,Liederik,NL,Joseph Mertens,1875,Liederik de rentmeester,zangspel,1893-1894,Edward Keurvels & Henry Fontaine,Unk
25,K.V.O. programmas 1893-97_00063-20211201_114312.jpg,1893-1897,Tantalus,1894-01-04,,False,831092,Tantalus,TSJ,Zdeněk Fibich,1890,Smír Tantalův,?,1893-1894,Edward Keurvels & Henry Fontaine,Unk
26,K.V.O. programmas 1893-97_00065-20211201_114329.jpg,1893-1897,Liederik,1894-01-09,,False,747457,Liederik,NL,Joseph Mertens,1875,Liederik de rentmeester,zangspel,1893-1894,Edward Keurvels & Henry Fontaine,Unk
27,K.V.O. programmas 1893-97_00065-20211201_114329.jpg,1893-1897,Concert van nationale werken,1894-01-09,,False,962246,Concert van nationale werken,?,?,?,?,concert,1893-1894,Edward Keurvels & Henry Fontaine,NL
28,K.V.O. programmas 1893-97_00069-20211201_114407.jpg,1893-1897,Tantalus,1894-01-11,,False,757426,Tantalus,TSJ,Zdeněk Fibich,1890,Smír Tantalův,?,1893-1894,Edward Keurvels & Henry Fontaine,Unk
29,K.V.O. programmas 1893-97_00071-20211201_114425.jpg,1893-1897,De Vrijschutter,1894-01-16,Buitengewone vertoning ter Benifice van M. Lod. Leysen,False,775593,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,NL
30,K.V.O. programmas 1893-97_00073-20211201_114447.jpg,1893-1897,Pelops,1894-01-18,,False,339249,Pelops,TSJ,Fibich Zdeněk,1890,Námluvy Pelopovy,romantic opera,1893-1894,Edward Keurvels & Henry Fontaine,Unk
31,K.V.O. programmas 1893-97_00075-20211201_114513.jpg,1893-1897,Liederik,1894-01-23,,False,607678,Liederik,NL,Joseph Mertens,1875,Liederik de rentmeester,zangspel,1893-1894,Edward Keurvels & Henry Fontaine,Unk
32,K.V.O. programmas 1893-97_00079-20211201_114550.jpg,1893-1897,Tantalus,1894-01-25,,False,223742,Tantalus,TSJ,Zdeněk Fibich,1890,Smír Tantalův,?,1893-1894,Edward Keurvels & Henry Fontaine,Unk
33,K.V.O. programmas 1893-97_00081-20211201_114641.jpg,1893-1897,De Vliegende Hollander,1894-02-01,Eerste vertoning,False,798146,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,NL
34,K.V.O. programmas 1893-97_00083-20211201_114701.jpg,1893-1897,De Vliegende Hollander,1894-02-06,,False,348774,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine,NL
